6;18.03;
5;18.03;
4;18.03;
3;18.03;
1;18.03;
2;18.03;
4;18.03;
6;18.30;
2;18.45;
5;19.40;
3;18.03;
1;18.03;
4;18.78;
1;18.17;
3;18.36;
6;21.11;
2;18.91;
5;19.81;
4;19.01;
1;18.17;
5;19.81;
6;21.95;
3;18.40;
2;18.93;
1;18.17;
4;19.15;
3;18.40;
6;22.32;
5;20.04;
2;18.93;
1;19.88;
3;18.41;
4;24.98;
6;24.32;
5;23.35;
2;19.05;
1;30.60;
4;55.87;
3;23.34;
6;39.90;
2;27.74;
5;37.05;
1;35.85;
3;28.40;
4;71.53;
6;52.89;
2;33.47;
5;46.26;
1;48.26;
4;102.16;
3;32.61;
6;64.56;
5;62.11;
2;40.15;
1;52.86;
4;119.33;
6;78.79;
3;34.24;
5;69.37;
2;45.28;
1;60.64;
4;138.04;
3;37.96;
5;76.75;
6;87.79;
2;49.16;
1;63.52;
4;145.36;
3;42.05;
6;94.04;
5;83.93;
2;54.28;
1;66.27;
4;163.20;
3;43.93;
6;95.34;
5;90.55;
2;58.55;
1;69.56;
4;172.40;
3;49.86;
5;95.42;
6;99.72;
2;61.58;
1;71.67;
4;181.01;
3;52.96;
5;98.47;
6;102.77;
2;63.67;
1;72.06;
4;179.35;
3;55.81;
5;98.68;
6;106.35;
2;66.14;
1;63.26;
4;151.90;
5;87.96;
6;95.56;
2;59.24;
3;52.33;
1;59.74;
4;138.32;
3;49.00;
5;83.19;
6;86.74;
2;55.64;
1;48.51;
4;112.45;
5;70.25;
6;79.31;
3;46.82;
2;50.77;
1;45.51;
5;65.83;
4;97.25;
3;48.95;
6;67.85;
2;47.58;
1;40.63;
5;61.46;
4;81.88;
3;50.72;
6;64.91;
2;46.18;
1;39.10;
5;57.54;
4;81.48;
3;48.66;
6;63.03;
2;44.08;
1;38.09;
5;58.66;
4;78.87;
3;49.02;
6;62.90;
2;43.49;
1;36.49;
4;74.61;
3;44.82;
6;61.36;
5;55.70;
2;42.04;
1;36.32;
5;54.22;
4;68.88;
3;44.26;
6;61.57;
2;42.14;
1;35.54;
4;67.60;
5;52.05;
3;43.06;
6;60.41;
2;42.60;
1;34.75;
4;64.59;
3;43.43;
6;60.05;
5;50.86;
2;42.00;
1;34.56;
4;64.24;
5;48.30;
3;44.55;
6;58.49;
2;40.67;
1;33.38;
4;59.89;
5;45.79;
3;42.83;
6;55.22;
2;38.86;
1;31.78;
3;39.49;
4;58.66;
5;43.12;
6;52.70;
2;37.03;
1;28.88;
3;34.00;
4;55.32;
6;46.63;
5;40.17;
2;34.66;
1;27.53;
3;31.97;
4;49.28;
5;35.74;
6;42.56;
2;31.48;
1;25.65;
3;29.40;
4;34.23;
5;27.93;
6;38.74;
2;27.34;
1;23.96;
3;27.63;
4;29.51;
5;26.12;
6;35.07;
2;25.74;
1;22.02;
3;25.09;
4;26.91;
5;24.43;
6;32.16;
2;23.58;
1;20.71;
3;23.54;
4;24.76;
6;27.90;
5;23.25;
2;20.97;
1;19.74;
6;23.48;
3;21.71;
5;22.42;
4;25.15;
2;20.18;
1;18.20;
3;18.86;
6;22.52;
5;20.53;
4;24.72;
2;19.88;
1;18.20;
3;18.56;
6;21.66;
4;25.61;
5;20.30;
2;19.88;
1;18.20;
3;19.17;
6;21.45;
4;25.99;
5;20.13;
2;20.25;
1;19.97;
3;19.17;
4;26.99;
6;24.67;
5;24.23;
2;21.99;
1;20.83;
3;19.17;
6;24.26;
4;26.36;
5;24.41;
2;22.17;
1;22.90;
3;20.35;
6;24.97;
4;25.90;
5;24.20;
2;23.67;
3;20.37;
1;22.90;
6;25.43;
4;25.61;
5;24.61;
2;23.76;
1;23.49;
3;20.39;
6;25.21;
4;25.24;
5;24.89;
2;24.87;
1;24.91;
3;20.29;
4;25.40;
6;25.34;
5;26.90;
2;24.43;
1;24.85;
3;20.29;
6;28.78;
4;26.18;
5;27.53;
2;25.95;
1;26.42;
3;20.93;
5;28.30;
6;27.13;
4;24.89;
2;25.50;
1;27.48;
3;20.95;
6;28.48;
5;28.52;
4;23.65;
2;25.50;
1;27.64;
3;19.91;
6;29.35;
4;22.54;
5;29.05;
2;25.74;
1;26.63;
3;19.91;
6;26.31;
4;22.63;
5;25.91;
2;24.41;
1;26.57;
3;20.05;
4;23.57;
6;26.35;
5;26.31;
2;24.44;
1;24.88;
3;18.87;
4;24.80;
6;26.43;
5;26.67;
2;22.94;
1;25.13;
3;19.07;
4;25.33;
6;28.42;
5;26.15;
2;23.94;
1;25.10;
3;19.72;
6;29.24;
4;26.69;
5;26.49;
2;23.14;
1;23.68;
